N°;CONTRATO;CONTRATO_ORIGINAL;N° DO FLUXO ACC;ABERTO/FECHADO;TIPO;FRENTE;TRECHO;ENDEREÇO;DATA PROTOCOLO;AGENTE DA SUPERVISÃO;ETAPA ATUAL DO PROCESSO;SITUACAO_GERAL;COMUNICAÇÃO;COMUNICAÇÃO_STATUS;QUALIDADE;QUALIDADE_STATUS;SST;SST_STATUS;SUPERVISÃO;SUPERVISÃO_STATUS;PARTICIPANTES PENDENTES DE ANÁLISE;ARREDONDADO ATUAL;DATA_VENCIMENTO_ANALISE;CHECKLIST_DOCUMENTAL;PENDÊNCIAS;PENDENCIA_DOCUMENTAL;FLUXO_CORRELACIONADO;LIBERACAO_PREVISTA_SEMANA;FRENTE_CHAVE;ENDERECO_CHAVE
1;00797/24;797/24;#161;FECHADO;Mapeamento de Interferências;CT Aracília;PV-10 ao PV-11;Av Nossa Senhora de Fátima 180 ~ 332;30/06/2026;André;Revisão fechada;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;OBJETADO;Com objeção;OBJETADO;Com objeção;-;4;22/07/2026;;SST: APR, PAE, Contingência Supervisão: Relatório de mapeamento, porém sem gás neste trecho em específico.;Sim;198 e 206;-;CT ARACILIA;AV NOSSA SENHORA DE FATIMA 180 ~ 332
2;00268/24;268/24;#331;FECHADO;Planos Gerais;Plano de Contigência, Plano de Comunicação e PAE GERAL;-;-;01/07/2026;Outros;-;Não informado;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;PLANO DE CONTIGENCIA, PLANO DE COMUNICACAO E PAE GERAL;-
3;00268/24;268/24;#333;FECHADO;Mapeamento de Interferências;IN Jd. Centenário;PV5.1 ao PV5.1.1;Rua Xapuri x Av Brejinho;01/07/2026;Wernner;Revisão fechada;Com objeção;;Não informado;;Não informado;NÃO OBJETADO;Sem objeção;OBJETADO;Com objeção;-;4;-;;Supervisão: Corrigir projeto, consta em arquivo nomeado como plano de furo, responder problemas registrados.;Sim;473;-;IN JD. CENTENARIO;RUA XAPURI X AV BREJINHO
4;00268/24;268/24;#335;FECHADO;Liberação de Frente;IN Jd. Centenário;PV5.1 ao PV5.1.1;Rua Xapuri x Av Brejinho;01/07/2026;Jéssica / Wernner;Revisão fechada, aguardar processo de mapeamento;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;OBJETADO;Com objeção;-;1;-;;Necessário realizar o procedimento de Mapeamento de Interferências, para revisão desta segunda etapa de documentação relacionada à Liberação de Frente de Serviço.;Sim;;-;IN JD. CENTENARIO;RUA XAPURI X AV BREJINHO
5;00268/24;268/24;#337;FECHADO;Liberação de Frente;CT Jd. Centenário;PV3.8 - PV3.7A;Rua Industrial x Rua Silvio Manfredi;01/07/2026;Wernner;Revisão fechada, aguardar processo de mapeamento;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;OBJETADO;Com objeção;-;1;13/07/2026;;Necessário realizar o procedimento de Mapeamento de Interferências, para revisão desta segunda etapa de documentação relacionada à Liberação de Frente de Serviço.;Sim;;-;CT JD. CENTENARIO;RUA INDUSTRIAL X RUA SILVIO MANFREDI
6;00268/24;268/24;#338;FECHADO;Mapeamento de Interferências;CT Jd. Centenário;PV3.8 - PV3.7A;Rua Silvio Manfredi;01/07/2026;Rodrigo;Revisão fechada;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;NÃO OBJETADO;Sem objeção;OBJETADO;Com objeção;-;1;-;;Supervisão: Cavas-testemunho e Relatório de mapeamento.;Sim;;-;CT JD. CENTENARIO;RUA SILVIO MANFREDI
7;00268/24;268/24;#340;ABERTO;Liberação de Frente;CT Santa Maria;PVS 4 5 E 6;Rua Guaraniaçu 67 ~ 99;01/07/2026;Wernner;Protocolo de saída, acionar a qualidade;Com objeção;;Não informado;;Não informado;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;OBJETADO;Com objeção;QUALIDADE;1;15/07/2026;;Trata-se do caso em que há comentários sem problemas inseridos dentro dos arquivos. Necessário realizar o procedimento de mapeamento de interferências, para revisão desta segunda etapa de documentação relacionada à Liberação de Frente de Serviço.;Sim;;-;CT SANTA MARIA;RUA GUARANIACU 67 ~ 99
8;00268/24;268/24;#341;FECHADO;Mapeamento de Interferências;CT Santa Maria;PVS 4 5 E 6;Rua Guaraniaçu 67 ~ 99;01/07/2026;Wernner;Aprovado;Sem objeção;;Não informado;;Não informado;NÃO OBJETADO;Sem objeção;NÃO OBJETADO;Sem objeção;-;4;-;;Mapeamento e abertura de cavas-testemunho aprovada pela supervisão.;Sim;;-;CT SANTA MARIA;RUA GUARANIACU 67 ~ 99
9;00268/24;268/24;#344;ABERTO;Liberação de Frente;CT Pimentas 2;PV31 A PV28;Rua Olga Benário;01/07/2026;Wernner;Consta em análise, acionar a qualidade;Com objeção;;Não informado;;Não informado;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;OBJETADO;Com objeção;QUALIDADE;1;15/07/2026;;Necessário realizar o procedimento de Mapeamento de Interferências, para revisão desta segunda etapa de documentação relacionada à Liberação de Frente de Serviço.;Sim;;-;CT PIMENTAS 2;RUA OLGA BENARIO
10;00268/24;268/24;#345;ABERTO;Mapeamento de Interferências;CT Pimentas 2;PV31 A PV28;Rua Olga Benário;01/07/2026;-;Retornou ao iniciador;Em análise;;Não informado;;Não informado;;Não informado;;Não informado;-;2;-;;-;Não;;-;CT PIMENTAS 2;RUA OLGA BENARIO
11;00268/24;268/24;#347;ABERTO;Mapeamento de Interferências;CT Jd. Centenário;PV18 A PV23;Alameda dos Pinheiros;01/07/2026;Rodrigo;Retornou ao iniciador (Arredondado 4);Com objeção;;Não informado;;Não informado;EM ANÁLISE;Em análise;OBJETADO;Com objeção;SST;4;15/07/2026;;SST: Em análise Supervisão: Cavas-testemunho, Relatório de mapeamento e arquivo com nome errado (Cadastro da Comgás que na verdade é o Relatório de mapeamento).;Sim;;-;CT JD. CENTENARIO;ALAMEDA DOS PINHEIROS
12;00268/24;268/24;#348;ABERTO;Liberação de Frente;CT Jd. Centenário;PV18 A PV23;Alameda dos Pinheiros;01/07/2026;-;Retornou ao iniciador;Em análise;;Não informado;;Não informado;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;-;Não informado;-;2;-;;Necessário realizar o procedimento de Mapeamento de Interferências, para revisão desta segunda etapa de documentação relacionada à Liberação de Frente de Serviço.;Sim;;-;CT JD. CENTENARIO;ALAMEDA DOS PINHEIROS
13;00268/24;268/24;#350;FECHADO;Mapeamento de Interferências;CT Pimentas 2;PV 17 AO 18;Rua São José da Laje;01/07/2026;Gian;Respondido;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;;Não informado;OBJETADO;Com objeção;-;2;15/07/2026;;Supervisão: Cavas-testemunho e Relatório de mapeamento;Sim;;-;CT PIMENTAS 2;RUA SAO JOSE DA LAJE
14;00268/24;268/24;#351;FECHADO;Liberação de Frente;CT Pimentas 2;PV 17 AO 18;Rua São José da Laje;01/07/2026;Jéssica;Revisão fechada, aguardar processo de mapeamento;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;OBJETADO;Com objeção;-;1;-;;Supervisão: Ajustar Projeto no Plano de Furo em TC Ø500mm. Necessário realizar o procedimento de Mapeamento de Interferências, para revisão desta segunda etapa de documentação relacionada à Liberação de Frente de Serviço.;Sim;;-;CT PIMENTAS 2;RUA SAO JOSE DA LAJE
15;00274/24;274/24;#345;FECHADO;Planos Gerais;Planos de Comunicação e PAE GERAL;-;-;01/07/2026;Outros;-;Não informado;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;PLANOS DE COMUNICACAO E PAE GERAL;-
16;00274/24;274/24;#346;FECHADO;0;IN Complementar 220;-;Rua Pedra Lavada até a Estrada Guarulhos Nazaré;01/07/2026;Wernner;Revisão fechada, a empreiteira deverá revisar os arquivos objetados em um novo fluxo no ACC;Com objeção;;Não informado;;Não informado;OBJETADO;Com objeção;OBJETADO;Com objeção;-;2;16/07/2026;;SST: APR Supervisão: Cadastro Comgás, Projeto de Cavas, Projeto Aprovado;Sim;371;-;IN COMPLEMENTAR 220;RUA PEDRA LAVADA ATE A ESTRADA GUARULHOS NAZARE
17;00274/24;274/24;#348;FECHADO;Mapeamento de Interferências;CT Barra das Garças;-;Rua Araguainha / Rua Cáceres / Rua Sebastião Walter Fusco / Rua Teixeira;01/07/2026;Gian;Revisão fechada, a empreiteira deverá revisar os arquivos objetados em um novo fluxo no ACC;Com objeção;OBJETADO;Com objeção;NÃO OBJETADO;Sem objeção;OBJETADO;Com objeção;OBJETADO;Com objeção;;2;15/07/2026;;SST: APR, PAE Supervisão: Ajustar Plano de Furo e verificar versão atual do Projeto Aprovado;Sim;;-;CT BARRA DAS GARCAS;RUA ARAGUAINHA / RUA CACERES / RUA SEBASTIAO WALTER FUSCO / RUA TEIXEIRA
18;00797/24;797/24;#163;FECHADO;Planos Gerais;Planos de Comunicação;-;;01/07/2026;Outros;Respondido;Não informado;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;PLANOS DE COMUNICACAO;
19;00797/24;797/24;#165;ABERTO;Mapeamento de Interferências;CT Aracília;PV-11 ao PV-12;Av Nossa Senhora de Fátima 180 ~ 276;01/07/2026;Gian;Respondido, solicitado para a qualidade encaminhar para Protocolo de Saída;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;OBJETADO;Com objeção;OBJETADO;Com objeção;-;1;15/07/2026;;SST: APR e Contingência Supervisão: Relatório de mapeamento;Sim;;-;CT ARACILIA;AV NOSSA SENHORA DE FATIMA 180 ~ 276
20;00797/24;797/24;#169;FECHADO;Mapeamento de Interferências;IN Estrada dos Vados 02;-;Estrada Velha Guarulhos Arujá 71 ~ 327;;André;Respondido;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;OBJETADO;Com objeção;OBJETADO;Com objeção;-;1;15/07/2026;;SST: PAE e Contingência Supervisão: Cavas-testemunho, Relatório de mapeamento, Plano de Furo, Projeto Executivo e Solicitação Comgás;Sim;;-;IN ESTRADA DOS VADOS 02;ESTRADA VELHA GUARULHOS ARUJA 71 ~ 327
21;00268/24;268/24;#354;FECHADO;Mapeamento de Interferências;CT Centenário;PV5;Av Venturosa 1109 x Av Brejinho;02/07/2026;Gian;Revisão fechada;Com objeção;;Não informado;;Não informado;OBJETADO;Com objeção;OBJETADO;Com objeção;SST;2;15/07/2026;;SST: APR e Contingência Supervisão: Cavas-testemunho e Relatório de mapeamento;Sim;;-;CT CENTENARIO;AV VENTUROSA 1109 X AV BREJINHO
22;00268/24;268/24;#356;ABERTO;Liberação de Frente;CT Centenário;PV5;Av Venturosa 1109 x Av Brejinho;02/07/2026;Gian;Respondido;Com objeção;;Não informado;;Não informado;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;OBJETADO;Com objeção;-;2;-;;Necessário realizar o procedimento de Mapeamento de Interferências, para revisão desta segunda etapa de documentação relacionada à Liberação de Frente de Serviço.;Sim;;-;CT CENTENARIO;AV VENTUROSA 1109 X AV BREJINHO
23;00268/24;268/24;#359;FECHADO;Mapeamento de Interferências;CT Centenário;PV12;Rua Nova Timboteva 61;02/07/2026;Rodrigo;Aprovado;Sem objeção;;Não informado;;Não informado;NÃO OBJETADO;Sem objeção;NÃO OBJETADO;Sem objeção;SST;3;-;;Mapeamento e abertura de cavas-testemunho aprovada pela supervisão.;Sim;;-;CT CENTENARIO;RUA NOVA TIMBOTEVA 61
24;00268/24;268/24;#361;ABERTO;Liberação de Frente;CT Centenário;PV12;Rua Nova Timboteva 61;02/07/2026;-;-;Com objeção;;Não informado;;Não informado;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;OBJETADO;Com objeção;-;2;-;;Necessário realizar o procedimento de Mapeamento de Interferências, para revisão desta segunda etapa de documentação relacionada à Liberação de Frente de Serviço.;Sim;;-;CT CENTENARIO;RUA NOVA TIMBOTEVA 61
25;00268/24;268/24;#365;FECHADO;Mapeamento de Interferências;CT Centenário;PV 3 ao PV 3.1;Av Venturosa x Rua Silvio Manfredi;02/07/2026;Jéssica/Gian;Revisão fechada, arquivos revisados pela empreiteira em novo fluxo/processo sob o nº 458;Com objeção;;Não informado;;Não informado;NÃO OBJETADO;Sem objeção;OBJETADO;Com objeção;-;4;-;;Supervisão: Arquivo de cava-testemunho, ajustar área hachurada e informações / autorização vencida.;Sim;458;-;CT CENTENARIO;AV VENTUROSA X RUA SILVIO MANFREDI
26;00268/24;268/24;#367;ABERTO;Liberação de Frente;CT Centenário;PV 3;Av Venturosa x Rua Silvio Manfredi;02/07/2026;-;-;Com objeção;;Não informado;;Não informado;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;OBJETADO;Com objeção;-;2;-;;Necessário realizar o procedimento de Mapeamento de Interferências, para revisão desta segunda etapa de documentação relacionada à Liberação de Frente de Serviço.;Sim;;-;CT CENTENARIO;AV VENTUROSA X RUA SILVIO MANFREDI
27;00268/24;268/24;#370;ABERTO;Mapeamento de Interferências;CT Pimentas 1;PV 26.4.1;Rua Zeferino de Freitas 139;02/07/2026;Gian;Protocolo de saída, acionar a qualidade;Com objeção;;Não informado;;Não informado;OBJETADO;Com objeção;OBJETADO;Com objeção;;2;20/07/2026;;SST: APR, PAE e Contingência Supervisão: Cavas-testemunho e Relatório de mapeamento;Sim;;-;CT PIMENTAS 1;RUA ZEFERINO DE FREITAS 139
28;00268/24;268/24;#372;ABERTO;Liberação de Frente;CT Pimentas 1;PV 26.4.1;Rua Zeferino de Freitas 139;02/07/2026;-;-;Em análise;;Não informado;;Não informado;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;-;Não informado;-;2;-;;Necessário realizar o procedimento de Mapeamento de Interferências, para revisão desta segunda etapa de documentação relacionada à Liberação de Frente de Serviço.;Sim;;-;CT PIMENTAS 1;RUA ZEFERINO DE FREITAS 139
29;00268/24;268/24;#374;ABERTO;Mapeamento de Interferências;CT Jd. Silvestre;PV 6;Rua São José da Laje 1175 x Rua Medeia;02/07/2026;Gian;Respondido;Com objeção;;Não informado;;Não informado;EM ANÁLISE;Em análise;OBJETADO;Com objeção;SST;2;20/07/2026;;Mapeamento / Cavas;Sim;;-;CT JD. SILVESTRE;RUA SAO JOSE DA LAJE 1175 X RUA MEDEIA
