TIPO_PROCESSO;CONTRATO;QUANTIDADE_PROCESSOS_ARSESP;APROVADOS_ANTES_ACC;APROVADOS_APOS_ACC;PENDENTE_APROVACAO;SEGURANCA_OBJETADO;SEGURANCA_APROVADO;SUPERVISAO_OBJETADO;SUPERVISAO_APROVADO;AGUARDANDO_ANALISE_SEGURANCA;AGUARDANDO_ANALISE_SUPERVISAO;APROVADOS_TOTAL
Mapeamento (cava-testemunho);00268/24;19;3;4;12;4;10;11;5;2;0;7
Mapeamento (cava-testemunho);00272/24;3;1;0;2;1;1;1;1;0;0;1
Mapeamento (cava-testemunho);00274/24;7;0;0;7;2;4;2;4;1;1;0
Mapeamento (cava-testemunho);00277/24;1;1;0;0;0;0;0;0;0;0;1
Mapeamento (cava-testemunho);00797/24;19;1;0;18;7;9;6;12;2;0;1
Mapeamento (cava-testemunho);00900/24;0;0;0;0;0;0;0;0;0;0;0
Mapeamento (cava-testemunho);01151/21;2;1;1;0;0;1;0;1;0;0;2
Mapeamento (cava-testemunho);03179/23;1;0;0;1;0;1;1;0;0;0;0
Liberação de frente;00268/24;14;1;0;13;0;13;8;5;0;0;1
Liberação de frente;00272/24;2;1;0;1;0;1;1;0;0;0;1
Liberação de frente;00274/24;0;0;0;0;0;0;0;0;0;0;0
Liberação de frente;00277/24;1;1;0;0;0;0;0;0;0;0;1
Liberação de frente;00797/24;1;1;0;0;0;0;0;0;0;0;1
Liberação de frente;00900/24;0;0;0;0;0;0;0;0;0;0;0
Liberação de frente;01151/21;1;0;1;0;0;1;0;1;0;0;1
Liberação de frente;03179/23;0;0;0;0;0;0;0;0;0;0;0
