codigo;status;contrato;unidade;nome_checklist;tipo_checklist;autor;data_inicial;data_final;data_sincronizacao;data_aprovacao;coordenada;lat;lon;COORD_N_UTM;COORD_E_UTM;EPSG_UTM;STATUS_COORDENADA;data_referencia;data_atualizacao;d_1;data_inicial2;horario_inicial;data_final2;horario_final;tempo_finalizar;tempo_aprovacao
211813673;Concluído;00268/24;00268/24 - Alto Cocho Velho - Pct 10C;00268/24 - RTS-01.1.001 - Gestão de Segurança e Saúde no Trabalho;RTS-01.1.001 - Gestão de Segurança e Saúde no Trabalho;Paulo da Silva Maximiano;30/07/2026 17:13:32;30/07/2026 17:36:45;30/07/2026 17:36:50;30/07/2026 17:13:33;-23.4446755,-46.4297332;-23.4446755;-46.4297332;7406528.310;353952.679;EPSG:31983;OK;30/07/2026;31/07/2026;SIM;30/07/2026;17;30/07/2026;17;0;0
211805841;Em Análise;00900/24;00900/24 - MD do Alto Baquirivu-Guaçu - Pct 19;00900/24 - FV-07.1.002 - Poço de visita e serviço;FV-07.1.002 - Poço de visita e serviço;Yago Kalil Camargo;30/07/2026 16:30:29;30/07/2026 16:39:42;30/07/2026 16:39:50;0;-23.4038572,-46.3701288;-23.4038572;-46.3701288;7411107.226;359999.114;EPSG:31983;OK;30/07/2026;31/07/2026;SIM;30/07/2026;16;30/07/2026;16;0;0
211803687;Em Análise;00797/24;00797/24 - ME do Alto Baquirivu-Guaçu - Pct 20;00797/24 - FV-08.1.003 - Vala a céu aberto;FV-08.1.003 - Vala a céu aberto;Claudio Antônio Fernandes da Silva;30/07/2026 16:21:58;30/07/2026 16:46:49;30/07/2026 16:46:55;0;-23.3981333,-46.3179933;-23.3981333;-46.3179933;7411790.662;365321.231;EPSG:31983;OK;30/07/2026;31/07/2026;SIM;30/07/2026;16;30/07/2026;16;0;0
211801777;Concluído;00268/24;00268/24 - Alto Cocho Velho - Pct 10C;00268/24 - RTS-01.1.001 - Gestão de Segurança e Saúde no Trabalho;RTS-01.1.001 - Gestão de Segurança e Saúde no Trabalho;Paulo da Silva Maximiano;30/07/2026 16:14:34;30/07/2026 20:17:24;30/07/2026 20:17:31;30/07/2026 16:14:34;-23.4380778,-46.5734983;-23.4380778;-46.5734983;7407105.712;339256.658;EPSG:31983;OK;30/07/2026;31/07/2026;SIM;30/07/2026;16;30/07/2026;20;0;0
211801467;Em Análise;00272/24;00272/24 - Médio Cocho Velho - Pct 10B;00272/24 - FV-07.1.002 - Poço de visita e serviço;FV-07.1.002 - Poço de visita e serviço;Arthur Roberto Argeri Jazra;30/07/2026 16:12:52;30/07/2026 16:44:22;30/07/2026 16:44:29;0;-23.4209997,-46.429145;-23.4209997;-46.429145;7409150.517;353986.763;EPSG:31983;OK;30/07/2026;31/07/2026;SIM;30/07/2026;16;30/07/2026;16;0;0
211799813;Em Análise;00277/24;00277/24 - Baquirivu - Tanquinho - Pct 15D;00277/24 - FV-07.1.002 - Poço de visita e serviço;FV-07.1.002 - Poço de visita e serviço;Osman Balbino da Silva Junior;30/07/2026 16:04:39;30/07/2026 16:19:46;30/07/2026 16:19:57;0;-23.4198746,-46.4908732;-23.4198746;-46.4908732;7409211.199;347677.852;EPSG:31983;OK;30/07/2026;31/07/2026;SIM;30/07/2026;16;30/07/2026;16;0;0
211798729;Em Análise;03179/23;03179/23 - SES Cajamar Jordanésia;03179/23 - FV-07.1.002 - Poço de visita e serviço;FV-07.1.002 - Poço de visita e serviço;Silas Freitas;30/07/2026 15:59:08;30/07/2026 16:03:08;30/07/2026 16:03:12;0;-23.3369482,-46.8403316;-23.3369482;-46.8403316;7417982.087;311849.029;EPSG:31983;OK;30/07/2026;31/07/2026;SIM;30/07/2026;15;30/07/2026;16;0;0
211797476;Em Análise;00900/24;00900/24 - MD do Alto Baquirivu-Guaçu - Pct 19;00900/24 - FV-07.1.002 - Poço de visita e serviço;FV-07.1.002 - Poço de visita e serviço;Yago Kalil Camargo;30/07/2026 15:52:36;30/07/2026 16:21:30;30/07/2026 16:21:36;0;-23.4071466,-46.3694453;-23.4071466;-46.3694453;7410743.663;360072.422;EPSG:31983;OK;30/07/2026;31/07/2026;SIM;30/07/2026;15;30/07/2026;16;0;0
211797295;Em Análise;00797/24;00797/24 - ME do Alto Baquirivu-Guaçu - Pct 20;00797/24 - FV-08.1.003 - Vala a céu aberto;FV-08.1.003 - Vala a céu aberto;Claudio Antônio Fernandes da Silva;30/07/2026 15:51:46;30/07/2026 16:10:47;30/07/2026 16:11:38;0;-23.4013262,-46.3144473;-23.4013262;-46.3144473;7411440.433;365686.843;EPSG:31983;OK;30/07/2026;31/07/2026;SIM;30/07/2026;15;30/07/2026;16;0;0
211797041;Em Análise;01151/21;01151/21 - Obras na TC-28 - Cabuçu de Cima;01151/21 - FV-07.1.002 - Poço de visita e serviço;FV-07.1.002 - Poço de visita e serviço;Ana Paula Lourenço Machado Souto;30/07/2026 15:50:38;30/07/2026 16:04:50;30/07/2026 16:04:56;0;-23.4528558,-46.5697492;-23.4528558;-46.5697492;7405473.457;339657.563;EPSG:31983;OK;30/07/2026;31/07/2026;SIM;30/07/2026;15;30/07/2026;16;0;0
