tipo;id;nome;categoria;contrato;coordenacao;meta_2025;meta_2026;economias_recebidas;economias_liberadas;extensao_km;metodo;vazao_ls;status;x;y;origem;destino;descricao;cor
node;s3;ETE SÃO JOÃO;ete;;;;;;;;;;;47.5;98.0;;;Fluxograma: Terminação 2;
node;s5;EEE PQ. DAS NAÇÕES | Q=126,0 l/s;elevatoria;;;;;;;;;126,0 l/s;;30.0;109.0;;;CaixaDeTexto 4;
node;s8;EEE JD. FÁTIMA | Q=209,0 l/s;elevatoria;;;;;;;;;209,0 l/s;;36.0;104.0;;;CaixaDeTexto 7;
node;s10;EEE DAS INDUSTRIAS | Q=21,13 l/s;elevatoria;;;;;;;;;21,13 l/s;;28.0;116.0;;;CaixaDeTexto 9;
node;s12;CT MARGINAL;coletor;;;;;;;;;;;32.0;112.5;;;CaixaDeTexto 11;
node;s14;CT CUMBICA TRAMO I;coletor;;;;;;;;;;;35.0;112.5;;;CaixaDeTexto 13;
node;s16;CT CUMBICA TRAMO II;coletor;;;;;;;;;;;36.5;109.5;;;CaixaDeTexto 15;
node;s20;LR DAS INDUSTRIAS;linha_recalque;;;;;;;;;;;28.5;112.5;;;CaixaDeTexto 19;
node;s21;LR PQ. DAS NAÇÕES;linha_recalque;;;;;;;;;;;32.0;104.5;;;CaixaDeTexto 20;
node;s23;CTS SÃO JOÃO;coletor;;;;;;;;;;;29.5;100.5;;;CaixaDeTexto 22;
node;s27;EG PQ. DAS NAÇÕES;outro;;;;;;;;;;;34.5;104.5;;;CaixaDeTexto 26;
node;s28;LR JD. FÁTIMA;linha_recalque;;;;;;;;;;;36.5;101.5;;;CaixaDeTexto 27;
node;s30;EG JD. FÁTIMA;outro;;;;;;;;;;;38.5;97.5;;;CaixaDeTexto 29;
node;s34;CT. VISTA DO PARARÍSO;coletor;;;;;;;;;;;41.5;97.5;;;CaixaDeTexto 33;
node;s37;CT  RUA UBATA;coletor;;;;;;;;;;;28.0;121.5;;;CaixaDeTexto 36;
node;s38;EEE MARIA DIRCE | Q=15,20 l/s;elevatoria;;;;;;;;;15,20 l/s;;30.0;125.5;;;CaixaDeTexto 37;
node;s40;LR MARIA DIRCE;linha_recalque;;;;;;;;;;;32.0;121.5;;;CaixaDeTexto 39;
node;s44;EG MARIA DIRCE;outro;;;;;;;;;;;35.5;121.0;;;CaixaDeTexto 43;
node;s50;RCE EXISTENTE 300MM;existente;;;;;;;;;;;38.5;121.0;;;CaixaDeTexto 49;
node;s51;CT LAURO;coletor;;;;;;;;;;;40.5;117.5;;;CaixaDeTexto 50;
node;s52;CT CACHOEIRA DO ARARI;coletor;;;;;;;;;;;39.5;109.5;;;CaixaDeTexto 51;
node;s56;EEE CARLOPOLIS | Q=5,0 l/s;elevatoria;;;;;;;;;5,0 l/s;;43.5;108.5;;;CaixaDeTexto 55;
node;s58;LR CARLOPOLIS;linha_recalque;;;;;;;;;;;42.0;104.5;;;CaixaDeTexto 57;
node;s59;CT CACHOEIRA DO ARARI;coletor;;;;;;;;;;;39.0;104.5;;;CaixaDeTexto 58;
node;s62;CT EXISTENTE 500MM;coletor;;;;;;;;;;;45.0;98.0;;;CaixaDeTexto 61;
node;s70;CTS. PAPA JOÃO PAULO I;coletor;;;;;;;;;;;42.0;91.0;;;CaixaDeTexto 69;
node;s77;CT DAS INDUSTRIAS I;coletor;;;;;;;;;;;25.0;112.5;;;CaixaDeTexto 76;
node;s78;CT DAS INDUSTRIAS II;coletor;;;;;;;;;;;25.0;119.0;;;CaixaDeTexto 77;
node;s88;EEE MANOEL ALONSO ALEMANDRA | Q=5,0 l/s;elevatoria;;;;;;;;;5,0 l/s;;16.5;117.0;;;CaixaDeTexto 87;
node;s91;LR MANOEL ALONSO ALEMANDRA;linha_recalque;;;;;;;;;;;18.0;113.5;;;CaixaDeTexto 90;
node;s95;CT ALTO DO PARAGUAI;coletor;;;;;;;;;;;26.5;104.5;;;CaixaDeTexto 94;
node;s101;CT ANTÔNIO JOÃO;coletor;;;;;;;;;;;14.5;97.5;;;CaixaDeTexto 100;
node;s102;RCE EXISTENTE 300MM;existente;;;;;;;;;;;18.0;97.5;;;CaixaDeTexto 101;
node;s103;CT RUA MIRIAM;coletor;;;;;;;;;;;16.0;101.5;;;CaixaDeTexto 102;
node;s109;CT BARRA DAS GRAÇAS;coletor;;;;;;;;;;;21.5;104.5;;;CaixaDeTexto 108;
node;s112;CT SÃO JOÃO;coletor;;;;;;;;;;;26.5;98.5;;;CaixaDeTexto 111;
node;s114;CT PEDRA LAVADA;coletor;;;;;;;;;;;21.5;97.5;;;CaixaDeTexto 113;
node;s122;RCE EXISTENTE 300MM;existente;;;;;;;;;;;19.5;110.0;;;CaixaDeTexto 121;
node;s171;CT AVENIDA BRUMATTI;coletor;;;;;;;;;;;50.5;93.5;;;CaixaDeTexto 170;
node;s173;CT EXISTENTE 500MM;coletor;;;;;;;;;;;50.0;97.5;;;CaixaDeTexto 172;
node;s180;CT EXISTENTE 600MM;coletor;;;;;;;;;;;54.5;94.0;;;CaixaDeTexto 179;
node;s183;CT EXISTENTE 500MM;coletor;;;;;;;;;;;53.0;97.5;;;CaixaDeTexto 182;
node;s289;EEE VILA PARAÍSO | Q=386,10 l/s;elevatoria;;;;;;;;;386,10 l/s;;55.5;143.5;;;CaixaDeTexto 288;
node;s291;LR VILA PARAÍSO;linha_recalque;;;;;;;;;;;56.0;140.5;;;CaixaDeTexto 290;
node;s294;CT JD. SILVESTRE;coletor;;;;;;;;;;;54.5;144.5;;;CaixaDeTexto 293;
node;s297;CT LAGO DE PEDRA;coletor;;;;;;;;;;;49.5;140.5;;;CaixaDeTexto 296;
node;s298;CT PIMENTAS;coletor;;;;;;;;;;;53.0;141.5;;;CaixaDeTexto 297;
node;s299;CT SANTA MARIA;coletor;;;;;;;;;;;51.0;144.5;;;CaixaDeTexto 298;
node;s301;CT PQ. DAS NAÇÕES;coletor;;;;;;;;;;;59.5;140.5;;;CaixaDeTexto 300;
node;s309;EEE PQ. INDUSTRIAL | Q=136,14 l/s;elevatoria;;;;;;;;;136,14 l/s;;51.0;136.0;;;CaixaDeTexto 308;
node;s310;CT JD. CENTENÁRIO;coletor;;;;;;;;;;;49.5;132.5;;;CaixaDeTexto 309;
node;s311;CT PQ. INDUSTRIAL;coletor;;;;;;;;;;;51.0;128.5;;;CaixaDeTexto 310;
node;s316;LR PQ. INDUSTRIAL;linha_recalque;;;;;;;;;;;52.5;133.5;;;CaixaDeTexto 315;
node;s320;CT VILA PARAÍSO;coletor;;;;;;;;;;;54.5;136.5;;;CaixaDeTexto 319;
node;s326;INTERCEPTOR  ITB4;outro;;;;;;;;;;;65.5;137.0;;;CaixaDeTexto 325;
node;s328;CT ÁGUA CHATA;coletor;;;;;;;;;;;61.5;145.5;;;CaixaDeTexto 327;
node;s331;INTERCEPTOR EXISTENTE 1500MM;existente;;;;;;;;;;;64.5;129.0;;;CaixaDeTexto 330;
node;s339;CT DUTRA;coletor;;;;;;;;;;;67.0;141.5;;;CaixaDeTexto 338;
node;s341;CT JUSCELINO KUBTSCHEK;coletor;;;;;;;;;;;63.0;139.5;;;CaixaDeTexto 340;
node;s523;EEE | BAMBI;elevatoria;;;;;;;;;;;65.0;102.0;;;CaixaDeTexto 522;
node;s528;CTS RANGEL FILHO MD;coletor;;;;;;;;;;;50.5;111.5;;;CaixaDeTexto 527;
node;s532;EEE SANTA PAULA | Q=20,0 l/s;elevatoria;;;;;;;;;20,0 l/s;;47.5;113.0;;;CaixaDeTexto 531;
node;s533;LR PONTE ALTA;linha_recalque;;;;;;;;;;;63.5;115.5;;;CaixaDeTexto 532;
node;s539;CT EXISTENTE 700MM;coletor;;;;;;;;;;;65.0;120.0;;;CaixaDeTexto 538;
node;s540;CT VILA CARMELIA I;coletor;;;;;;;;;;;68.5;111.5;;;CaixaDeTexto 539;
node;s543;EEE | NIPON 01 | Q=3,0 l/s;elevatoria;;;;;;;;;3,0 l/s;;83.0;96.0;;;CaixaDeTexto 542;
node;s545;LINHA DE RECALQUE;outro;;;;;;;;;;;81.0;107.0;;;CaixaDeTexto 544;
node;s546;REDE COLETORA;coletor;;;;;;;;;;;79.0;111.5;;;CaixaDeTexto 545;
node;s552;LR SANTA PAULA;linha_recalque;;;;;;;;;;;49.5;115.5;;;CaixaDeTexto 551;
node;s553;CT PONTE ALTA;coletor;;;;;;;;;;;53.0;115.5;;;CaixaDeTexto 552;
node;s556;EEE | NIPON 02 | Q=5,0 l/s;elevatoria;;;;;;;;;5,0 l/s;;83.0;111.0;;;CaixaDeTexto 555;
node;s557;EEE | NIPON 03 | Q=8,0 l/s;elevatoria;;;;;;;;;8,0 l/s;;79.5;119.5;;;CaixaDeTexto 556;
node;s562;REDE COLETORA;coletor;;;;;;;;;;;84.5;98.0;;;CaixaDeTexto 561;
node;s563;LINHA DE RECALQUE;outro;;;;;;;;;;;82.5;103.0;;;CaixaDeTexto 562;
node;s566;REDE COLETORA;coletor;;;;;;;;;;;84.5;107.0;;;CaixaDeTexto 565;
node;s568;LINHA DE RECALQUE;outro;;;;;;;;;;;77.5;115.5;;;CaixaDeTexto 567;
node;s571;EEE | BONSUCESSO | Q=440,50 l/s;elevatoria;;;;;;;;;440,50 l/s;;72.0;127.0;;;CaixaDeTexto 570;
